	mzmed
1359	620.425619938457
1360	620.498041184269
1361	621.141942108674
1362	621.185943613966
1363	621.396274715572
1364	621.437864305031
1365	621.469529557085
1366	621.501067132784
1367	621.5822226072149
1368	622.399673029249
1369	622.441266073179
1370	623.140374623694
1371	623.33424298432
1372	623.3958748372401
1373	623.426924381251
1374	623.44424219356
1375	623.5523388557721
1376	623.598780379373
1377	624.398397169591
1378	624.412407506544
1379	624.43037455822
1380	624.446923153181
1381	624.602170901851
1382	625.292526069218
1383	625.427596040593
1384	625.443226043589
1385	625.502705607097
1386	626.2961988717
1387	626.4309165984449
1388	626.4466953887011
1389	626.505962307974
1390	626.547907357167
1391	627.250814879152
1392	627.426979089498
1393	627.476159876981
1394	627.551093214708
1395	627.559653975571
1396	628.2580580141471
1397	628.479567574712
1398	628.553876579655
1399	628.563113273042
1400	629.238462233184
1401	629.279658845615
1402	629.418563600016
1403	629.458802253775
1404	629.475139202308
1405	629.4918596824659
1406	629.558898738528
1407	630.461852801541
1408	630.477444818844
1409	630.495223102472
1410	631.4568807889881
1411	631.4804020581099
1412	631.4907489542479
1413	631.480182652621
1414	631.507235644619
1415	632.492994053312
1416	633.290990409916
1417	633.426949703825
1418	633.4379399488761
1419	633.470070915512
1420	634.4414069435479
1421	634.430290479478
1422	635.0929598903331
1423	635.202032874663
1424	635.438823175327
1425	635.442602328679
1426	635.489291619733
1427	635.510929236887
1428	635.508262234649
1429	635.527076607096
1430	636.446039410258
1431	636.5137645051519
1432	636.530492363966
1433	637.10910158774
1434	637.4427129225
1435	637.4520066226339
1436	637.505064017177
1437	637.5013520421701
1438	637.5888900675869
1439	638.455050341003
1440	638.50848996454
1441	638.592225666056
1442	639.308217061782
1443	639.413815586725
1444	639.4560504447451
1445	639.458114315412
1446	639.4981111139759
1447	639.5114855847451
1448	639.520743077235
1449	639.5581634584639
1450	639.595265900925
1451	640.311690907777
1452	640.514203303645
1453	640.524147434375
1454	640.561622451389
1455	641.2664389898371
1456	641.401822122191
1457	641.483351749402
1458	641.476591349467
1459	641.532311344227
1460	641.527129361857
